"0","1"
".insulin Aspart Protamine And Insulin Aspart","Hypoglycemia|Headache|Influenza-like symptoms|Dyspepsia|Back pain|Diarrhea|Pharyngitis|Rhinitis|Skeletal pain|Upper respiratory tract infection"
"Abacavir","Dreams/sleep disorders|Drug hypersensitivity|Headaches/migraine|Nausea|Fatigue/malaise|Diarrhea|Rashes|Abdominal pain/gastritis/ gastrointestinal signs and symptoms|Depressive disorders|Dizziness|Musculoskeletal pain|Bronchitis|Vomiting|Abdominal pain/gastritis/gastrointestinal signs and symptoms|Dreams/sleep disorders Drug hypersensitivity Headaches/migraine Nausea Fatigue/malaise Diarrhea Rashes Abdominal pain/gastritis/gastrointestinal signs and symptoms Depressive disorders Dizziness Musculoskeletal pain Bronchitis Vomiting|Dreams/sleep disorders Drug hypersensitivity Headaches/migraine Nausea Fatigue/malaise Diarrhea Rashes Abdominal pain/gastritis/ gastrointestinal signs and symptoms Depressive disorders Dizziness Musculoskeletal pain Bronchitis Vomiting|Fatigue /malaise|Abdominal pain /gastritis/ gastrointestinal signs and symptoms"
"Abacavir And Lamivudine","Drug hypersensitivity a,b|Insomnia|Depression/Depressed mood|Headache/Migraine|Fatigue/Malaise|Dizziness/Vertigo|Nausea|Diarrheaa|Rash|Pyrexia|Abdominal pain/gastritis|Abnormal dreams|Anxiety|Drug hypersensitivitya,b Insomnia Depression/Depressed mood Headache/Migraine Fatigue/Malaise Dizziness/Vertigo Nausea Diarrheaa Rash Pyrexia Abdominal pain/gastritis Abnormal dreams Anxiety|Drug hypersensitivitya,b|Drug hypersensitivity a,b Insomnia Depression/Depressed mood Headache/Migraine Fatigue/Malaise Dizziness/Vertigo Nausea Diarrheaa Rash Pyrexia Abdominal pain/gastritis Abnormal dreams Anxiety"
"Abacavir Sulfate","Dreams/sleep disorders|Drug hypersensitivity|Headaches/migraine|Nausea|Fatigue/malaise|Diarrhea|Rashes|Abdominal pain/gastritis/ gastrointestinal signs and symptoms|Depressive disorders|Dizziness|Musculoskeletal pain|Bronchitis|Vomiting"
"Abacavir, Lamivudine And Zidovudine","Nausea|Headache|Malaise and fatigue|Nausea and vomiting|Hypersensitivity reaction|Diarrhea|Fever and/or chills|Depressive disorders|Musculoskeletal pain|Skin rashes|Ear/nose/throat infections|Viral respiratory infections|Anxiety|Renal signs/symptoms|Pain (non-site-specific)"
"Abelcet","Chills|Fever|Increased Serum Creatinine|Multiple Organ Failure|Nausea|Hypotension|Respiratory Failure|Vomiting|Dyspnea|Sepsis|Diarrhea|Headache|Cardiac Arrest|Hypertension|Hypokalemia|Infection|Kidney Failure|Pain|Thrombocytopenia|Anemia|Hyperbilirubinemia|Gastrointestinal Hemorrhage|Leukopenia|Rash|Respiratory Disorder|Chest Pain|Nausea and Vomiting"
"Abilify","Akathisia|Sedation|Restlessness|Tremor|Extrapyramidal Disorder"
"Abilify Maintena","Gastrointestinal Disorders|Constipation|Dry Mouth|Diarrhea|Vomiting|Abdominal Discomfort|General Disorders and Administration Site Conditions|Injection Site Pain|Infections and Infestations|Upper Respiratory Tract Infection|Investigations|Increased Weight|Decreased Weight|Musculoskeletal and Connective Tissue Disorders|Arthralgia|Back Pain|Myalgia|Musculoskeletal Pain|Nervous System Disorders|Akathisia|Sedation|Dizziness|Tremor|Respiratory, Thoracic and Mediastinal|Nasal Congestion"
"Abilify Mycite","Akathisia|Sedation|Restlessness|Tremor|Extrapyramidal Disorder"
"Abiraterone","Musculoskeletal and connective tissue disorders|Joint swelling/discomfort 2|Muscle discomfort 3|General disorders|Edema 4|Vascular disorders|Hot flush|Hypertension|Gastrointestinal disorders|Diarrhea|Dyspepsia|Infections and infestations|Urinary tract infection|Upper respiratory tract infection|Respiratory, thoracic and mediastinal disorders|Cough|Renal and urinary disorders|Urinary frequency|Nocturia|Injury, poisoning and procedural complications|Fractures 5|Cardiac disorders|Arrhythmia 6|Chest pain or chest discomfort 7|Cardiac failure 8|Joint swelling/discomfort2|Muscle discomfort3|Edema4|Fractures5|Arrhythmia6|Chest pain or chest discomfort7|Cardiac failure8"
